,SubAntioquia,SubArauca,SubAtlantico,SubBogota,SubBolivar,SubBoyaca-Casanare,SubCaqueta,SubCauca-Narinno,SubCerromatoso,SubCordoba-Sucre,SubCQR,SubGCM,SubHuila-Tolima,SubMeta,SubNorteSantander,SubPutumayo,SubSantander,SubValle
2022-01-01 00:00:00,-885844.279,-116575.477,-732990.796,-1642238.812,-511417.729,-224669.971,-58816.446,-184546.075,-212713.697,-437489.718,-296528.63,-627662.916,-262532.391,-245976.321,-205641.66,-17014.717,-347519.926,-684166.047
2022-01-01 01:00:00,-846893.948,-115107.112,-710473.928,-1566594.909,-491447.744,-222740.499,-55789.297,-177118.593,-210585.005,-420438.685,-283068.347,-604745.268,-250170.174,-241383,-196812.999,-16147.492,-333293.741,-650970.661
2022-01-01 02:00:00,-819697.255,-114762.863,-690721.52,-1528675.453,-476564.903,-225472.598,-56373.93,-170620.688,-208753.854,-411108.257,-273434.608,-585264.124,-238159.896,-237321.034,-191411.377,-15027.572,-325688.046,-631981.607
2022-01-01 03:00:00,-823199.009,-113136.999,-672724.204,-1528819.034,-464406.829,-222519.007,-54885.957,-167531.473,-209141.743,-401527.238,-268801.485,-551953.377,-234479.557,-234249.567,-187657.086,-14696.44,-320160.491,-617519.071
2022-01-01 04:00:00,-865627.702,-113385.618,-661529.741,-1579393.168,-454476.717,-228579.287,-55875.177,-169689.393,-206442.415,-396448.442,-272718.155,-556715.088,-231481.357,-241351.574,-186786.71,-14724.937,-316430.301,-619570.368
2022-01-01 05:00:00,-909125.738,-113922.683,-653988.07,-1629496.774,-447801.901,-230309.402,-58341.181,-177757.403,-205472.597,-395879.898,-283761.104,-550397.689,-232523.215,-241844.069,-185712.949,-14882.032,-315268.123,-629723.842
2022-01-01 06:00:00,-957509.476,-114724.891,-634038.918,-1694978.563,-427484.75,-231813.227,-61373.646,-187384.061,-202348.58,-370510.265,-296299.883,-525677.285,-225787.939,-237005.223,-185698.874,-15021.908,-325011.901,-625796.583
2022-01-01 07:00:00,-1051968.635,-117024.688,-649113.681,-1857399.098,-433145.551,-246534.388,-69542.53,-202182.219,-201924.265,-359826.168,-331176.923,-520017.769,-247492.399,-218481.675,-203375.692,-16584.814,-360696.53,-668956.736
2022-01-01 08:00:00,-1108474.005,-119344.587,-690447.268,-2020472.831,-453327.812,-261047.402,-75906.874,-223663.741,-202621.671,-371892.91,-361556.879,-532114.473,-270338.398,-233225.601,-219212.006,-18313.252,-394580.169,-734735.131
2022-01-01 09:00:00,-1162008.347,-120750.913,-717086.626,-2133357.764,-460010.31,-270975.694,-81228.304,-233339.371,-202283.964,-381103.491,-386115.593,-540676.394,-289166.662,-233252.854,-226558.985,-19747.843,-417822.238,-792213.674
2022-01-01 10:00:00,-1226511.943,-121569.009,-732884.825,-2213772.824,-471949.417,-270719.893,-86446.031,-242620.898,-203504.123,-391320.898,-407929.748,-549982.588,-305645.603,-244076.302,-236039.245,-20779.517,-434239.79,-843501.969
2022-01-01 11:00:00,-1269289.851,-122998.882,-739277.09,-2260182.718,-482914.706,-273404.122,-90582.234,-249101.435,-203867.352,-402187.958,-421419.888,-560197.966,-319149.618,-249751.229,-245792.385,-21492.509,-444513.504,-873884.854
2022-01-01 12:00:00,-1260155.093,-122788.736,-732255.917,-2246404.205,-477285.698,-267505.658,-89175.418,-241167.727,-206222.913,-400622.907,-420234.067,-570550.838,-318658.446,-247497.159,-233631.005,-21861.931,-437006.762,-874576.798
2022-01-01 13:00:00,-1213434.627,-123028.76,-735351.512,-2176283.337,-474908.675,-270566.541,-85534.344,-236278.524,-209528.264,-399731.909,-406600.498,-585990.624,-312049.799,-241388.624,-238091.546,-21564.818,-429504.456,-858759.865
2022-01-01 14:00:00,-1149491.143,-123176.053,-734389.678,-2098130.057,-479945.468,-267420.47,-84745.97,-230753.292,-206709.257,-399017.962,-395857.223,-601799.522,-309990.606,-238486.514,-234778.499,-21739.204,-427262.316,-840176.714
2022-01-01 15:00:00,-1141635.292,-122551.709,-721569.227,-2054897.882,-481611.969,-266510.01,-83216.924,-230740.118,-209902.15,-395886.022,-386880.174,-602007.217,-307781.769,-240057.793,-239519.504,-21898.371,-424073.114,-829265.277
2022-01-01 16:00:00,-1129245.969,-121416.709,-703812.925,-2015995.3,-472606.608,-262187.049,-84822.12,-231465.166,-207169.905,-385382.853,-383544.065,-579707.785,-307270.632,-258322.878,-232713.242,-21959.954,-418268.799,-815013.701
2022-01-01 17:00:00,-1163774.412,-124551.134,-700893.376,-2049389.189,-464846.644,-263114.57,-90734.971,-239176.446,-210034.993,-386425.98,-384768.331,-577357.176,-300529.805,-260496.279,-232367.237,-21801.095,-419744.557,-804215.59
2022-01-01 18:00:00,-1270628.556,-134685.948,-773176.322,-2325112.095,-516697.148,-306722.55,-106325.344,-289026.114,-228174.401,-470049.861,-448070.817,-650121.847,-343549.54,-285065.433,-251493.569,-24452.166,-460847.393,-898385.184
2022-01-01 19:00:00,-1277682.541,-135088.259,-775188.667,-2357081.694,-520772.488,-303605.763,-108376.892,-322568.547,-230681.164,-492333.623,-450564.049,-658044.709,-356403.656,-287604.557,-245285.955,-26209.445,-453491.095,-931464.265
2022-01-01 20:00:00,-1211593.36,-133072.637,-775424.944,-2286592.81,-520351.144,-297542.66,-101009.709,-304386.626,-228158.508,-491756.069,-432513.887,-662899.762,-347059.494,-281894.251,-237582.414,-25287.673,-434601.371,-899628.972
2022-01-01 21:00:00,-1098548.595,-126109.398,-759430.357,-2074524.164,-509826.303,-278505.791,-88614.814,-266344.682,-221436.263,-478334.643,-390536.759,-657100.502,-323700.257,-285506.987,-227364.247,-22830.386,-404135.248,-826513.766
2022-01-01 22:00:00,-983887.049,-122227.222,-756260.935,-1862622.812,-510581.881,-257996.453,-76174.7,-230824.788,-218795.708,-465799.164,-347082.114,-651058.895,-301474.171,-268937.842,-218460.329,-20481.06,-381936.014,-762906.079
2022-01-01 23:00:00,-900318.231,-120731.347,-741822.155,-1696698.82,-504831.507,-236155.308,-66613.804,-204524.777,-214644.021,-448521.324,-309733.098,-637888.975,-282118.965,-257830.299,-210040.293,-18369.733,-360759.289,-701904.221
2022-01-02 00:00:00,-835301.526,-119429.749,-737532.74,-1526696.738,-502154.887,-235099.172,-62054.889,-187179.143,-213531.045,-444893.331,-290874.036,-628851.032,-265994.403,-235274.91,-198448.092,-16575.883,-349614.366,-661990.929
2022-01-02 01:00:00,-786009.892,-117945.795,-714031.659,-1451932.047,-484007.173,-230181.631,-58468.499,-177767.461,-207253.091,-431460.315,-271625.028,-610289.993,-251655.451,-232850.557,-191850.727,-15684.336,-333030.317,-628261.744
