,SubAntioquia,SubArauca,SubAtlantico,SubBogota,SubBolivar,SubBoyaca-Casanare,SubCaqueta,SubCauca-Narinno,SubCerromatoso,SubCordoba-Sucre,SubCQR,SubGCM,SubHuila-Tolima,SubMeta,SubNorteSantander,SubPutumayo,SubSantander,SubValle,Exports
2022-01-01 00:00:00,-885844.279,-146885.10102,-923568.40296,-2069220.90312,-644386.33854,-283084.16346,-74108.72196000001,-232528.05450000003,-268019.25821999996,-551237.04468,-373626.0738,-790855.2741599999,-330790.81266,-309930.16446,-259108.4916,-21438.54342,-437875.10676,-862049.2192200001,0.0
2022-01-01 01:00:00,-846893.948,-145034.96112,-895197.1492799999,-1973909.58534,-619224.15744,-280653.02874000004,-70294.51422,-223169.42718,-265337.1063,-529752.7431,-356666.11722,-761979.0376800001,-315214.41924,-304142.58,-247984.37874000001,-20345.839920000002,-419950.11366,-820223.0328599999,0.0
2022-01-01 02:00:00,-819697.255,-144601.20738,-870309.1152,-1926131.07078,-600471.77778,-284095.47348,-71031.1518,-214982.06688,-263029.85604,-517996.40382,-344527.60608,-737432.7962399999,-300081.46896,-299024.50284000003,-241178.33502,-18934.74072,-410366.93795999995,-796296.82482,0.0
2022-01-01 03:00:00,-823199.009,-142552.61874,-847632.49704,-1926311.98284,-585152.6045400001,-280373.94882,-69156.30582000001,-211089.65598,-263518.59618,-505924.31988,-338689.8711,-695461.2550199999,-295444.24182,-295154.45442,-236447.92836000002,-18517.5144,-403402.21865999995,-778074.02946,0.0
2022-01-01 04:00:00,-865627.702,-142865.87868,-833527.47366,-1990035.3916800001,-572640.66342,-288009.90162,-70402.72302,-213808.63518,-260117.44290000002,-499525.03692,-343624.8753,-701461.01088,-291666.50982,-304102.98324,-235351.2546,-18553.42062,-398702.17925999995,-780658.66368,0.0
2022-01-01 05:00:00,-909125.738,-143542.58058,-824024.9681999999,-2053165.93524,-564230.39526,-290189.84652,-73509.88806,-223974.32778,-258895.47222000003,-498808.67147999996,-357538.99104,-693501.08814,-292979.2509,-304723.52694,-233998.31574,-18751.36032,-397237.83498000004,-793452.0409199999,0.0
2022-01-01 06:00:00,-957509.476,-144553.36266,-798889.0366799999,-2135672.98938,-538630.785,-292084.66602,-77330.79396,-236103.91686,-254959.21079999997,-466842.9339,-373337.85257999995,-662353.3791,-284492.80314000003,-298626.58098,-233980.58124000003,-18927.60408,-409514.99526,-788503.69458,0.0
2022-01-01 07:00:00,-1051968.635,-147451.10688,-817883.23806,-2340322.86348,-545763.39426,-310633.32888,-87623.5878,-254749.59594000003,-254424.57390000002,-453380.97168,-417282.92298000003,-655222.38894,-311840.42274,-275286.9105,-256253.37192,-20896.86564,-454477.6278,-842885.48736,-4690.2114
2022-01-01 08:00:00,-1108474.005,-150374.17962,-869963.5576800001,-2545795.76706,-571193.0431199999,-328919.72652,-95642.66124,-281816.31366,-255303.30546,-468585.06659999996,-455561.66754,-670464.23598,-340626.38148,-293864.25726,-276207.12756,-23074.69752,-497171.01294,-925766.2650600001,0.0
2022-01-01 09:00:00,-1162008.347,-152146.15038,-903529.14876,-2688030.78264,-579612.9906,-341429.37444000004,-102347.66304,-294007.60746,-254877.79464,-480190.39866,-486505.64717999997,-681252.25644,-364349.99412,-293898.59604,-285464.3211,-24882.282180000002,-526456.01988,-998189.22924,0.0
2022-01-01 10:00:00,-1226511.943,-153176.95134,-923434.8794999999,-2789353.75824,-594656.2654200001,-341107.06518,-108921.99906,-305702.33148,-256415.19498,-493064.33148,-513991.48248,-692978.06088,-385113.45978000003,-307536.14052,-297409.4487,-26182.19142,-547142.1354,-1062812.4809400002,0.0
2022-01-01 11:00:00,-1269289.851,-154978.59132,-931489.1333999999,-2847830.22468,-608472.52956,-344489.19372,-114133.61484,-313867.8081,-256872.86352,-506756.82707999996,-530989.05888,-705849.43716,-402128.51868000004,-314686.54854,-309698.40510000003,-27080.561339999997,-560087.01504,-1101094.91604,0.0
2022-01-01 12:00:00,-1260155.093,-154713.80736,-922642.45542,-2830469.2983,-601379.97948,-337057.12908,-112361.02668000001,-303871.33602000005,-259840.87038,-504784.86282000004,-529494.9244199999,-718894.05588,-401509.64196,-311846.42034,-294375.0663,-27546.03306,-550628.52012,-1101966.76548,0.0
2022-01-01 13:00:00,-1213434.627,-155016.2376,-926542.90512,-2742117.00462,-598384.9305,-340913.84166000003,-107773.27344,-297710.94024,-264005.61264,-503662.20534,-512316.62748,-738348.18624,-393182.74674,-304149.66624,-299995.34796,-27171.67068,-541175.61456,-1082037.4299,0.0
2022-01-01 14:00:00,-1149491.143,-155201.82678,-925330.99428,-2643643.87182,-604731.28968,-336949.79219999997,-106779.9222,-290749.14791999996,-260453.66382000002,-502762.63212,-498780.10098,-758267.39772,-390588.16356,-300493.00764,-295820.90874000004,-27391.397040000003,-538350.51816,-1058622.65964,0.0
2022-01-01 15:00:00,-1141635.292,-154415.15334,-909177.22602,-2589171.33132,-606831.08094,-335802.6126,-104853.32424,-290732.54868,-264476.709,-498816.38772,-487469.01924,-758529.0934199999,-387805.02894,-302472.81918,-301794.57503999997,-27591.94746,-534332.12364,-1044874.24902,0.0
2022-01-01 16:00:00,-1129245.969,-152985.05334,-886804.2855000001,-2540154.078,-595484.32608,-330355.68174,-106875.8712,-291646.10916,-261034.0803,-485582.39478000003,-483265.5219,-730431.8091000001,-387160.99632,-325486.82628,-293218.68492,-27669.542040000004,-527018.68674,-1026917.26326,0.0
2022-01-01 17:00:00,-1163774.412,-156934.42884,-883125.65376,-2582230.37814,-585706.7714399999,-331524.3582,-114326.06346,-301362.32196,-264644.09118,-486896.7348,-484808.09706,-727470.0417599999,-378667.5543,-328225.31154,-292782.71862,-27469.3797,-528878.14182,-1013311.6434,0.0
2022-01-01 18:00:00,-1270628.556,-169704.29448,-974202.16572,-2929641.2397000003,-651038.40648,-386470.413,-133969.93344,-364172.90364000003,-287499.74526,-592262.8248599999,-564569.22942,-819153.5272199999,-432872.4204,-359182.44558,-316881.89694,-30809.729160000003,-580667.7151799999,-1131965.33184,0.0
2022-01-01 19:00:00,-1277682.541,-170211.20634,-976737.72042,-2969922.93444,-656173.33488,-382543.26138,-136554.88392000002,-406436.36922000005,-290658.26664,-620340.3649800001,-567710.70174,-829136.33334,-449068.60656000004,-362381.74182,-309060.30329999997,-33023.9007,-571398.7797,-1173644.9739,0.0
2022-01-01 20:00:00,-1211593.36,-167671.52261999997,-977035.42944,-2881106.9406000003,-655642.44144,-374903.75159999996,-127272.23334,-383527.14876,-287479.72008,-619612.64694,-544967.49762,-835253.7001199999,-437294.96244000003,-355186.75626,-299353.84164,-31862.467979999998,-547597.72746,-1133532.5047199999,0.0
