,SubAntioquia,SubArauca,SubAtlantico,SubBogota,SubBolivar,SubBoyaca-Casanare,SubCaqueta,SubCauca-Narinno,SubCerromatoso,SubCordoba-Sucre,SubCQR,SubGCM,SubHuila-Tolima,SubMeta,SubNorteSantander,SubPutumayo,SubSantander,SubValle
2021-01-01 00:00:00,-867259.844,-124517.67,-712842.391,-1361655.057,-494524.016,-230263.697,-277756.199,-61538.024,-170335.286,-218066.906,-454615.686,-651617.408,-254248.289,-249972.215,-185556.823,-17925.854,-335562.775,-631578.13
2021-01-01 01:00:00,-830970.411,-123119.364,-684256.727,-1307990.883,-482205.742,-230342.823,-274494.568,-58388.504,-161912.662,-215580.232,-439245.015,-631060.956,-245825.608,-244536.18,-179289.463,-16820.363,-323224.994,-607826.901
2021-01-01 02:00:00,-808705.229,-122011.217,-664593.938,-1280661.687,-471785.463,-228408.998,-264448.611,-56315.749,-157216.383,-214017.444,-425619.62,-609230.615,-239803.343,-241586.111,-173862.05,-16226.844,-322891.651,-592949.449
2021-01-01 03:00:00,-809763.16,-121319.714,-648937.55,-1289940.058,-460433.898,-228503.169,-263987.416,-54709.023,-157558.212,-212695.557,-413289.669,-587721.71,-236549.788,-240105.073,-170122.751,-15949.006,-318725.48,-586647.377
2021-01-01 04:00:00,-853258.427,-121343.808,-645728.409,-1353327.672,-447964.962,-231388.813,-268297.363,-56421.455,-165121.443,-211733.525,-404154.153,-577207.654,-233401.121,-239005.368,-168884.56,-15917.595,-316662.359,-595315.33
2021-01-01 05:00:00,-932272.086,-122446.626,-636449.455,-1442235.363,-438987.996,-237879.244,-276262.193,-59698.384,-184553.591,-210103.019,-399321.013,-560408.654,-236033.549,-240725.665,-168768.307,-16707.404,-318886.428,-616115.381
2021-01-01 06:00:00,-1011508.596,-122500.36,-615023.514,-1576663.324,-428780.56,-248887.877,-288180.423,-64480.845,-208956.702,-206445.236,-373943.164,-527292.743,-235579.997,-213805.61,-163796.151,-17318.696,-326247.061,-636931.842
2021-01-01 07:00:00,-1115798.161,-125549.547,-632517.149,-1767344.59,-441792.988,-259227.977,-315504.873,-72744.231,-223565.902,-209671.129,-374639.46,-530546.961,-254661.159,-180942.387,-178324.791,-18868.227,-369765.31,-701535.316
2021-01-01 08:00:00,-1204933.972,-127523.064,-675702.921,-1914668.646,-456338.306,-277750.876,-336920.702,-81771.058,-234252.68,-209992.591,-386452.335,-552732.327,-277714.324,-177047.172,-196188.074,-20952.612,-414734.463,-771808.233
2021-01-01 09:00:00,-1250662.17,-129113.499,-698030.483,-2000137.307,-470266.736,-280089.308,-358445.528,-88339.944,-242441.168,-212377.861,-398687.337,-568391.706,-293726.863,-174564.706,-207757.741,-22648.381,-434508.083,-823373.377
