,AGREGADOBOGOTA,ALTOANCHICAYA,AMANI,BETANIA,CALIMA1,CHUZA,ELQUIMBO,ESMERALDA,GUAVIO,MIRAFLORES,MUNA,PENOL,PLAYAS,PORCEII,PORCEIII,PRADO,PUNCHINA,RIOGRANDE2,SALVAJINA,SANLORENZO,TOPOCORO,TRONERAS,URRA1
2021-01-01 00:00:00,0.4,0.48,0.95,0.8,0.63,0.73,0.51,0.76,0.78,0.81,0.56,0.93,0.87,0.65,0.5,1.04,0.84,0.93,0.67,0.87,0.86,0.7,0.94
2021-01-01 01:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 02:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 03:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 04:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 05:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 06:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 07:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 08:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 09:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 10:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 11:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 12:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 13:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 14:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 15:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 16:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 17:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 18:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 19:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 20:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 21:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 22:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-01 23:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-02 00:00:00,0.4,0.42,0.94,0.81,0.63,0.72,0.52,0.76,0.77,0.82,0.91,0.93,0.83,0.7,0.5,1.05,0.81,0.94,0.68,0.88,0.86,0.63,0.94
2021-01-02 01:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 02:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 03:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 04:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 05:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 06:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 07:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 08:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 09:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 10:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 11:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 12:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 13:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 14:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 15:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 16:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 17:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 18:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 19:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 20:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 21:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 22:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-02 23:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-03 00:00:00,0.4,0.39,0.97,0.82,0.63,0.71,0.52,0.76,0.77,0.82,0.78,0.93,0.74,0.76,0.44,1.11,0.66,0.95,0.7,0.89,0.86,0.49,0.94
2021-01-03 01:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 02:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 03:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 04:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 05:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 06:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 07:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 08:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 09:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 10:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 11:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 12:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 13:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 14:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 15:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 16:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 17:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 18:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
2021-01-03 19:00:00,0.39,0.42,0.96,0.78,0.64,0.7,0.53,0.77,0.77,0.82,0.65,0.92,0.72,0.62,0.55,1.12,0.53,0.96,0.72,0.89,0.85,0.44,0.94
