,AGREGADOBOGOTA,ALTOANCHICAYA,AMANI,BETANIA,CALIMA1,CHUZA,ELQUIMBO,ESMERALDA,GUAVIO,ITUANGO,MIRAFLORES,MUNA,PENOL,PLAYAS,PORCEII,PORCEIII,PRADO,PUNCHINA,RIOGRANDE2,SALVAJINA,SANLORENZO,TOPOCORO,TRONERAS,URRA1
2022-01-01 00:00:00,0.56247,0.61328,1.00201,0.83028,0.89019,0.63785,0.5407,0.85199,0.88825,,0.94137,0.68662,0.96133,0.91664,0.73009,0.57855,0.90735,0.84927,0.95985,0.38071,0.90217,0.93489,0.52161,0.85631
2022-01-01 01:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 02:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 03:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 04:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 05:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 06:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 07:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 08:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 09:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 10:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 11:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 12:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 13:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 14:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 15:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 16:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 17:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 18:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 19:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 20:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 21:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 22:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-01 23:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-02 00:00:00,0.56158,0.58842,0.99156,0.83163,0.89359,0.63369,0.53382,0.85257,0.88842,,0.94354,0.71979,0.95891,0.90812,0.66761,0.69084,0.91644,0.77436,0.9607,0.39189,0.90737,0.93738,0.64448,0.85851
2022-01-02 01:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 02:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 03:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 04:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 05:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 06:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 07:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 08:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 09:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 10:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 11:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 12:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 13:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 14:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 15:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 16:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 17:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 18:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 19:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 20:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 21:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 22:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-02 23:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-03 00:00:00,0.56044,0.63688,0.98714,0.84542,0.89895,0.62977,0.53352,0.85316,0.88201,,0.94572,0.55547,0.9556,0.87868,0.7721,0.54122,0.92828,0.70173,0.95391,0.40648,0.91332,0.94221,0.74823,0.85915
2022-01-03 01:00:00,0.55967,0.59723,0.98017,0.83083,0.90333,0.62563,0.52698,0.83422,0.88037,,0.94645,0.67559,0.95212,0.81314,0.63568,0.71587,0.94748,0.64094,0.96494,0.41542,0.92397,0.9357,0.60062,0.85886
2022-01-03 02:00:00,0.55967,0.59723,0.98017,0.83083,0.90333,0.62563,0.52698,0.83422,0.88037,,0.94645,0.67559,0.95212,0.81314,0.63568,0.71587,0.94748,0.64094,0.96494,0.41542,0.92397,0.9357,0.60062,0.85886
2022-01-03 03:00:00,0.55967,0.59723,0.98017,0.83083,0.90333,0.62563,0.52698,0.83422,0.88037,,0.94645,0.67559,0.95212,0.81314,0.63568,0.71587,0.94748,0.64094,0.96494,0.41542,0.92397,0.9357,0.60062,0.85886
2022-01-03 04:00:00,0.55967,0.59723,0.98017,0.83083,0.90333,0.62563,0.52698,0.83422,0.88037,,0.94645,0.67559,0.95212,0.81314,0.63568,0.71587,0.94748,0.64094,0.96494,0.41542,0.92397,0.9357,0.60062,0.85886
2022-01-03 05:00:00,0.55967,0.59723,0.98017,0.83083,0.90333,0.62563,0.52698,0.83422,0.88037,,0.94645,0.67559,0.95212,0.81314,0.63568,0.71587,0.94748,0.64094,0.96494,0.41542,0.92397,0.9357,0.60062,0.85886
2022-01-03 06:00:00,0.55967,0.59723,0.98017,0.83083,0.90333,0.62563,0.52698,0.83422,0.88037,,0.94645,0.67559,0.95212,0.81314,0.63568,0.71587,0.94748,0.64094,0.96494,0.41542,0.92397,0.9357,0.60062,0.85886
2022-01-03 07:00:00,0.55967,0.59723,0.98017,0.83083,0.90333,0.62563,0.52698,0.83422,0.88037,,0.94645,0.67559,0.95212,0.81314,0.63568,0.71587,0.94748,0.64094,0.96494,0.41542,0.92397,0.9357,0.60062,0.85886
2022-01-03 08:00:00,0.55967,0.59723,0.98017,0.83083,0.90333,0.62563,0.52698,0.83422,0.88037,,0.94645,0.67559,0.95212,0.81314,0.63568,0.71587,0.94748,0.64094,0.96494,0.41542,0.92397,0.9357,0.60062,0.85886
2022-01-03 09:00:00,0.55967,0.59723,0.98017,0.83083,0.90333,0.62563,0.52698,0.83422,0.88037,,0.94645,0.67559,0.95212,0.81314,0.63568,0.71587,0.94748,0.64094,0.96494,0.41542,0.92397,0.9357,0.60062,0.85886
