,SubAntioquia,SubArauca,SubAtlantico,SubBogota,SubBolivar,SubBoyaca-Casanare,SubCaqueta,SubCauca-Narinno,SubCerromatoso,SubCordoba-Sucre,SubCQR,SubGCM,SubHuila-Tolima,SubMeta,SubNorteSantander,SubPutumayo,SubSantander,SubValle
2021-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01 06:00:00,0,0,0,0,19,0,0,18,0,28,17,0,20,62,0,0,0,0
2021-01-01 07:00:00,0,0,0,0,209,0,0,152,0,235,181,0,81,85,0,0,0,0
2021-01-01 08:00:00,0,0,0,0,437,0,0,289,0,467,466,0,282,158,0,0,0,0
2021-01-01 09:00:00,0,0,0,0,639,0,0,628,0,668,576,0,576,330,0,0,0,0
2021-01-01 10:00:00,0,0,0,0,790,0,0,810,0,813,685,0,517,556,0,0,0,0
2021-01-01 11:00:00,0,0,0,0,870,0,0,899,0,891,536,0,651,587,0,0,0,23
2021-01-01 12:00:00,0,0,0,0,875,0,0,913,0,894,604,0,762,489,0,0,0,190
2021-01-01 13:00:00,0,0,0,0,805,0,0,805,0,823,312,0,607,97,0,0,0,236
2021-01-01 14:00:00,0,0,0,0,666,0,0,614,0,684,155,0,664,288,0,0,0,431
2021-01-01 15:00:00,0,0,0,0,473,0,0,468,0,491,128,0,465,352,0,0,0,781
2021-01-01 16:00:00,0,0,0,0,247,0,0,283,0,263,38,0,272,109,0,0,0,865
2021-01-01 17:00:00,0,0,0,0,42,0,0,44,0,49,44,0,59,17,0,0,0,813
2021-01-01 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734
2021-01-01 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453
2021-01-01 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475
2021-01-01 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
2021-01-01 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2021-01-01 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02 06:00:00,0,0,0,0,18,0,0,10,0,27,38,0,42,22,0,0,0,0
2021-01-02 07:00:00,0,0,0,0,205,0,0,216,0,229,237,0,253,72,0,0,0,0
2021-01-02 08:00:00,0,0,0,0,434,0,0,354,0,458,488,0,486,228,0,0,0,0
2021-01-02 09:00:00,0,0,0,0,636,0,0,600,0,657,616,0,690,287,0,0,0,0
2021-01-02 10:00:00,0,0,0,0,785,0,0,525,0,802,567,0,803,252,0,0,0,0
2021-01-02 11:00:00,0,0,0,0,866,0,0,809,0,881,490,0,762,205,0,0,0,34
2021-01-02 12:00:00,0,0,0,0,872,0,0,719,0,884,474,0,806,482,0,0,0,215
2021-01-02 13:00:00,0,0,0,0,802,0,0,292,0,811,662,0,721,835,0,0,0,481
2021-01-02 14:00:00,0,0,0,0,664,0,0,603,0,673,428,0,628,158,0,0,0,635
2021-01-02 15:00:00,0,0,0,0,470,0,0,444,0,480,324,0,390,479,0,0,0,726
2021-01-02 16:00:00,0,0,0,0,245,0,0,215,0,255,232,0,172,245,0,0,0,760
2021-01-02 17:00:00,0,0,0,0,42,0,0,42,0,42,46,0,46,31,0,0,0,700
2021-01-02 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572
2021-01-02 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445
2021-01-02 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410
2021-01-02 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
2021-01-02 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2021-01-02 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03 06:00:00,0,0,0,0,17,0,0,18,0,26,13,0,16,58,0,0,0,0
2021-01-03 07:00:00,0,0,0,0,201,0,0,15,0,230,88,0,132,245,0,0,0,0
2021-01-03 08:00:00,0,0,0,0,427,0,0,118,0,460,279,0,196,529,0,0,0,0
2021-01-03 09:00:00,0,0,0,0,629,0,0,283,0,661,532,0,256,725,0,0,0,0
2021-01-03 10:00:00,0,0,0,0,780,0,0,559,0,807,530,0,513,866,0,0,0,0
2021-01-03 11:00:00,0,0,0,0,861,0,0,704,0,886,679,0,710,765,0,0,0,13
2021-01-03 12:00:00,0,0,0,0,751,0,0,572,0,892,573,0,850,832,0,0,0,54
2021-01-03 13:00:00,0,0,0,0,798,0,0,503,0,822,371,0,769,683,0,0,0,108
2021-01-03 14:00:00,0,0,0,0,662,0,0,569,0,685,354,0,634,614,0,0,0,397
2021-01-03 15:00:00,0,0,0,0,472,0,0,139,0,491,500,0,415,292,0,0,0,756
2021-01-03 16:00:00,0,0,0,0,249,0,0,10,0,264,154,0,265,225,0,0,0,750
2021-01-03 17:00:00,0,0,0,0,44,0,0,7,0,50,42,0,43,27,0,0,0,899
2021-01-03 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849
2021-01-03 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530
2021-01-03 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
2021-01-03 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2021-01-03 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2021-01-03 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04 06:00:00,0,0,0,0,17,0,0,15,0,25,14,0,25,33,0,0,0,0
2021-01-04 07:00:00,0,0,0,0,203,0,0,59,0,228,107,0,121,245,0,0,0,0
2021-01-04 08:00:00,0,0,0,0,433,0,0,153,0,462,374,0,146,540,0,0,0,0
2021-01-04 09:00:00,0,0,0,0,639,0,0,196,0,669,463,0,391,690,0,0,0,0
2021-01-04 10:00:00,0,0,0,0,793,0,0,574,0,822,829,0,652,860,0,0,0,0
2021-01-04 11:00:00,0,0,0,0,876,0,0,737,0,906,917,0,833,839,0,0,0,13
2021-01-04 12:00:00,0,0,0,0,884,0,0,843,0,810,920,0,941,622,0,0,0,31
2021-01-04 13:00:00,0,0,0,0,816,0,0,818,0,845,882,0,870,810,0,0,0,164
2021-01-04 14:00:00,0,0,0,0,678,0,0,687,0,707,635,0,729,508,0,0,0,653
2021-01-04 15:00:00,0,0,0,0,484,0,0,77,0,510,504,0,532,443,0,0,0,807
2021-01-04 16:00:00,0,0,0,0,257,0,0,265,0,276,150,0,298,251,0,0,0,806
2021-01-04 17:00:00,0,0,0,0,47,0,0,73,0,55,81,0,71,40,0,0,0,932
2021-01-04 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864
