,SubAntioquia,SubArauca,SubAtlantico,SubBogota,SubBolivar,SubBoyaca-Casanare,SubCaqueta,SubCauca-Narinno,SubCerromatoso,SubCordoba-Sucre,SubCQR,SubGCM,SubHuila-Tolima,SubMeta,SubNorteSantander,SubPutumayo,SubSantander,SubValle
2022-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 06:00:00,0,0,0,0,0.019,0,0,0.018,0,0.028,0.017,0.048,0.02,0.062,0,0,0,0.023
2022-01-01 07:00:00,0,0,0,0,0.209,0,0,0.152,0,0.235,0.181,0.252,0.081,0.085,0,0,0,0.19
2022-01-01 08:00:00,0,0,0,0,0.437,0,0,0.289,0,0.467,0.466,0.452,0.282,0.158,0,0,0,0.236
2022-01-01 09:00:00,0,0,0,0,0.639,0,0,0.628,0,0.668,0.576,0.601,0.576,0.33,0,0,0,0.431
2022-01-01 10:00:00,0,0,0,0,0.79,0,0,0.81,0,0.813,0.685,0.686,0.517,0.556,0,0,0,0.781
2022-01-01 11:00:00,0,0,0,0,0.87,0,0,0.899,0,0.891,0.536,0.724,0.651,0.587,0,0,0,0.865
2022-01-01 12:00:00,0,0,0,0,0.875,0,0,0.913,0,0.894,0.604,0.714,0.762,0.489,0,0,0,0.813
2022-01-01 13:00:00,0,0,0,0,0.805,0,0,0.805,0,0.823,0.312,0.658,0.607,0.097,0,0,0,0.734
2022-01-01 14:00:00,0,0,0,0,0.666,0,0,0.614,0,0.684,0.155,0.551,0.664,0.288,0,0,0,0.453
2022-01-01 15:00:00,0,0,0,0,0.473,0,0,0.468,0,0.491,0.128,0.39,0.465,0.352,0,0,0,0.475
2022-01-01 16:00:00,0,0,0,0,0.247,0,0,0.283,0,0.263,0.038,0.18,0.272,0.109,0,0,0,0.06
2022-01-01 17:00:00,0,0,0,0,0.042,0,0,0.044,0,0.049,0.044,0.004,0.059,0.017,0,0,0,0.047
2022-01-01 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
